SKU,Product - English Name,Product - Chinese Name,Date of Sale,Amount Sold
A013,Mushroom Combo,菌类拼盘,2018/11/30,14
A013,Mushroom Combo,菌类拼盘,2018/12/01,8
A013,Mushroom Combo,菌类拼盘,2018/12/02,3
A013,Mushroom Combo,菌类拼盘,2018/12/03,2
A013,Mushroom Combo,菌类拼盘,2018/12/04,7
A013,Mushroom Combo,菌类拼盘,2018/12/05,5
A013,Mushroom Combo,菌类拼盘,2018/12/06,8
A013,Mushroom Combo,菌类拼盘,2018/12/07,12
A013,Mushroom Combo,菌类拼盘,2018/12/08,10
A013,Mushroom Combo,菌类拼盘,2018/12/09,15
A013,Mushroom Combo,菌类拼盘,2018/12/10,7
A013,Mushroom Combo,菌类拼盘,2018/12/11,5
A013,Mushroom Combo,菌类拼盘,2018/12/12,10
A013,Mushroom Combo,菌类拼盘,2018/12/13,9
A013,Mushroom Combo,菌类拼盘,2018/12/14,12
A013,Mushroom Combo,菌类拼盘,2018/12/15,10
A013,Mushroom Combo,菌类拼盘,2018/12/16,6
A013,Mushroom Combo,菌类拼盘,2018/12/17,9
A013,Mushroom Combo,菌类拼盘,2018/12/18,3
A013,Mushroom Combo,菌类拼盘,2018/12/19,11
A013,Mushroom Combo,菌类拼盘,2018/12/20,14
A013,Mushroom Combo,菌类拼盘,2018/12/21,13
A013,Mushroom Combo,菌类拼盘,2018/12/22,14
A013,Mushroom Combo,菌类拼盘,2018/12/23,16
A013,Mushroom Combo,菌类拼盘,2018/12/24,15
A013,Mushroom Combo,菌类拼盘,2018/12/25,12
A013,Mushroom Combo,菌类拼盘,2018/12/26,13
A013,Mushroom Combo,菌类拼盘,2018/12/27,11
A013,Mushroom Combo,菌类拼盘,2018/12/28,11
A013,Mushroom Combo,菌类拼盘,2018/12/29,11
A013,Mushroom Combo,菌类拼盘,2018/12/30,11
A013,Mushroom Combo,菌类拼盘,2018/12/31,28
A013,Mushroom Combo,菌类拼盘,2019/01/01,15
A013,Mushroom Combo,菌类拼盘,2019/01/02,5
A013,Mushroom Combo,菌类拼盘,2019/01/03,3
A013,Mushroom Combo,菌类拼盘,2019/01/04,6
A013,Mushroom Combo,菌类拼盘,2019/01/05,9
A013,Mushroom Combo,菌类拼盘,2019/01/06,6
A013,Mushroom Combo,菌类拼盘,2019/01/07,5
A013,Mushroom Combo,菌类拼盘,2019/01/08,7
A013,Mushroom Combo,菌类拼盘,2019/01/09,4
A013,Mushroom Combo,菌类拼盘,2019/01/10,5
A013,Mushroom Combo,菌类拼盘,2019/01/11,13
A013,Mushroom Combo,菌类拼盘,2019/01/12,10
A013,Mushroom Combo,菌类拼盘,2019/01/13,4
A013,Mushroom Combo,菌类拼盘,2019/01/14,4
A013,Mushroom Combo,菌类拼盘,2019/01/15,6
A013,Mushroom Combo,菌类拼盘,2019/01/16,4
A013,Mushroom Combo,菌类拼盘,2019/01/17,4
A013,Mushroom Combo,菌类拼盘,2019/01/18,14
A013,Mushroom Combo,菌类拼盘,2019/01/19,11
A013,Mushroom Combo,菌类拼盘,2019/01/20,1
A013,Mushroom Combo,菌类拼盘,2019/01/21,5
A013,Mushroom Combo,菌类拼盘,2019/01/22,5
A013,Mushroom Combo,菌类拼盘,2019/01/23,4
A013,Mushroom Combo,菌类拼盘,2019/01/24,6
A013,Mushroom Combo,菌类拼盘,2019/01/25,14
A013,Mushroom Combo,菌类拼盘,2019/01/26,11
A013,Mushroom Combo,菌类拼盘,2019/01/27,6
A013,Mushroom Combo,菌类拼盘,2019/01/28,5
A013,Mushroom Combo,菌类拼盘,2019/01/29,9
A013,Mushroom Combo,菌类拼盘,2019/01/30,7
A013,Mushroom Combo,菌类拼盘,2019/01/31,7
A013,Mushroom Combo,菌类拼盘,2019/02/01,10
A013,Mushroom Combo,菌类拼盘,2019/02/02,5
A013,Mushroom Combo,菌类拼盘,2019/02/03,7
A013,Mushroom Combo,菌类拼盘,2019/02/04,16
A013,Mushroom Combo,菌类拼盘,2019/02/05,14
A013,Mushroom Combo,菌类拼盘,2019/02/06,16
A013,Mushroom Combo,菌类拼盘,2019/02/07,5
A013,Mushroom Combo,菌类拼盘,2019/02/08,5
A013,Mushroom Combo,菌类拼盘,2019/02/09,7
A013,Mushroom Combo,菌类拼盘,2019/02/10,3
A013,Mushroom Combo,菌类拼盘,2019/02/11,10
A013,Mushroom Combo,菌类拼盘,2019/02/12,5
A013,Mushroom Combo,菌类拼盘,2019/02/13,7
A013,Mushroom Combo,菌类拼盘,2019/02/14,8
A013,Mushroom Combo,菌类拼盘,2019/02/15,12
A013,Mushroom Combo,菌类拼盘,2019/02/16,9
A013,Mushroom Combo,菌类拼盘,2019/02/17,2
A013,Mushroom Combo,菌类拼盘,2019/02/18,10
A013,Mushroom Combo,菌类拼盘,2019/02/19,6
A013,Mushroom Combo,菌类拼盘,2019/02/20,4
A013,Mushroom Combo,菌类拼盘,2019/02/21,4
A013,Mushroom Combo,菌类拼盘,2019/02/22,10
A013,Mushroom Combo,菌类拼盘,2019/02/23,11
A013,Mushroom Combo,菌类拼盘,2019/02/24,10
A013,Mushroom Combo,菌类拼盘,2019/02/25,4
A013,Mushroom Combo,菌类拼盘,2019/02/26,6
A013,Mushroom Combo,菌类拼盘,2019/02/27,9
A013,Mushroom Combo,菌类拼盘,2019/02/28,3
A013,Mushroom Combo,菌类拼盘,2019/03/01,5
A013,Mushroom Combo,菌类拼盘,2019/03/02,6
A013,Mushroom Combo,菌类拼盘,2019/03/03,2
A013,Mushroom Combo,菌类拼盘,2019/03/04,4
A013,Mushroom Combo,菌类拼盘,2019/03/05,4
A013,Mushroom Combo,菌类拼盘,2019/03/06,4
A013,Mushroom Combo,菌类拼盘,2019/03/07,7
A013,Mushroom Combo,菌类拼盘,2019/03/08,7
A013,Mushroom Combo,菌类拼盘,2019/03/09,9
A013,Mushroom Combo,菌类拼盘,2019/03/10,7
A013,Mushroom Combo,菌类拼盘,2019/03/11,2
A013,Mushroom Combo,菌类拼盘,2019/03/12,6
A013,Mushroom Combo,菌类拼盘,2019/03/13,5
A013,Mushroom Combo,菌类拼盘,2019/03/14,3
A013,Mushroom Combo,菌类拼盘,2019/03/15,9
A013,Mushroom Combo,菌类拼盘,2019/03/16,9
A013,Mushroom Combo,菌类拼盘,2019/03/17,9
A013,Mushroom Combo,菌类拼盘,2019/03/18,6
A013,Mushroom Combo,菌类拼盘,2019/03/19,5
A013,Mushroom Combo,菌类拼盘,2019/03/20,7
A013,Mushroom Combo,菌类拼盘,2019/03/21,7
A013,Mushroom Combo,菌类拼盘,2019/03/22,6
A013,Mushroom Combo,菌类拼盘,2019/03/23,15
A013,Mushroom Combo,菌类拼盘,2019/03/24,9
A013,Mushroom Combo,菌类拼盘,2019/03/25,3
A013,Mushroom Combo,菌类拼盘,2019/03/26,4
A013,Mushroom Combo,菌类拼盘,2019/03/27,8
A013,Mushroom Combo,菌类拼盘,2019/03/28,6
A013,Mushroom Combo,菌类拼盘,2019/03/29,8
A013,Mushroom Combo,菌类拼盘,2019/03/30,6
A013,Mushroom Combo,菌类拼盘,2019/03/31,6
A013,Mushroom Combo,菌类拼盘,2019/04/01,3
A013,Mushroom Combo,菌类拼盘,2019/04/02,6
A013,Mushroom Combo,菌类拼盘,2019/04/03,2
A013,Mushroom Combo,菌类拼盘,2019/04/04,8
A013,Mushroom Combo,菌类拼盘,2019/04/05,8
A013,Mushroom Combo,菌类拼盘,2019/04/06,7
A013,Mushroom Combo,菌类拼盘,2019/04/07,3
A013,Mushroom Combo,菌类拼盘,2019/04/08,9
A013,Mushroom Combo,菌类拼盘,2019/04/09,4
A013,Mushroom Combo,菌类拼盘,2019/04/10,7
A013,Mushroom Combo,菌类拼盘,2019/04/11,9
A013,Mushroom Combo,菌类拼盘,2019/04/12,9
A013,Mushroom Combo,菌类拼盘,2019/04/13,9
A013,Mushroom Combo,菌类拼盘,2019/04/14,7
A013,Mushroom Combo,菌类拼盘,2019/04/15,4
A013,Mushroom Combo,菌类拼盘,2019/04/16,6
A013,Mushroom Combo,菌类拼盘,2019/04/17,2
A013,Mushroom Combo,菌类拼盘,2019/04/18,13
A013,Mushroom Combo,菌类拼盘,2019/04/19,8
A013,Mushroom Combo,菌类拼盘,2019/04/20,9
A013,Mushroom Combo,菌类拼盘,2019/04/21,5
A013,Mushroom Combo,菌类拼盘,2019/04/22,3
A013,Mushroom Combo,菌类拼盘,2019/04/23,6
